,gender,a,boy,enquiry,feeling,for,have,he,her,his,inquiry,money,of,say,see,seem,she,the,this,upon,whisper,wish
Dickens_Nicholas3,m,18.3444122076,0.7345109993,0,0.4407065996,5.7475485695,13.2395607624,11.1094788644,4.783502883,13.0192074626,0.1193580374,0.4223438246,20.6305776929,8.6396856293,1.9280913732,0.6886040618,2.8003231848,35.5044254288,4.2877079584,2.8462301223,0.1377208124,0.4131624371
Dickens_Nicholas4,m,16.7848415655,0.4506669871,0,0.2904298362,6.4395305051,14.6316548492,12.6487201058,5.0875295437,11.7574009534,0.160237151,0.5307855626,18.5374354044,7.4910868085,2.2232904699,0.8011857549,3.1446540881,32.938749349,5.5482113528,2.8742538958,0.160237151,0.4106076994
Dickens_Oliver,m,18.6074097903,1.8195252145,0,0.2010525099,5.7551280956,12.1938347248,12.309439918,3.9205239428,11.7012560756,0.1206315059,0.2010525099,19.5171723975,7.3987323639,1.9150251567,0.6785522209,2.8851035169,48.0314446125,3.9808396958,2.3874985549,0.2864998266,0.3317366413
Doyle_TheHound,m,18.5432533818,0.2841877913,0,0.1420938956,5.9537342276,17.8896214619,13.0442196203,2.3445492782,9.79026941,0.1847220643,0.0852563374,22.7634420825,4.5185858816,3.1829032625,1.0372854382,1.9466863704,47.2462203024,4.7743548937,4.4475389337,0.1136751165,0.3978629078
Doyle_TheLostWorld,m,21.1261230679,0.1018399077,0,0.1584176341,5.5672482857,14.7667866114,7.9435127979,0.4073596307,7.4229977143,0.0452621812,0.0226310906,28.6283295992,4.3904315749,2.9873039582,0.9052436237,0.5431461742,50.3428610225,4.1075429425,4.6167424808,0.1471020888,0.1810487247
Eliot_Adam,w,18.8685969525,0.2059112364,0,0.582095226,9.3610415941,15.5146196978,11.3528368233,11.8517755884,7.5830772642,0.0197991573,0.3009471917,20.55944499,6.4386859695,3.31437894,0.8909620807,9.1274115374,39.3924034593,3.0767890519,0.4355814617,0.0791966294,0.4751797763
Eliot_Daniel1,w,20.842180066,0.4246431697,0,0.441975544,7.1062734529,17.0983872226,8.8568432547,14.4032030228,7.5742475583,0.0519971228,0.3553136726,24.6379700323,5.9450043764,2.1145496616,1.6292431819,9.0994964945,35.9733428084,3.1891568667,0.2599856141,0.0346647486,0.9359482109
Eliot_Daniel2,w,20.3767990164,0.2531279381,0,0.6147392782,6.807333478,18.1257684241,11.4811600492,13.8225934765,8.7329138642,0.054241701,0.2621682216,26.1625804585,8.5069067766,2.5403196644,1.3741230925,9.4561365444,36.3509799667,3.4985897158,0.4520141752,0.0632819845,0.9853909019
Eliot_Daniel3,w,19.7114038606,0.1513351544,0,0.9231444418,6.7722481594,19.2422648819,11.2971692759,14.5811421264,10.2075561643,0.052967304,0.2345694893,26.347450381,7.1808530763,2.1943597388,1.7630545488,9.2919784801,36.7593090037,3.162904727,0.3480708551,0.0908010926,0.9307111996
Eliot_Felix,w,21.517845036,0.2150849352,0.0748121514,0.416142592,6.5320359659,17.5247464569,12.404789848,7.9768456392,9.6601190448,0.0046757595,0.2431394919,24.8002281771,6.5694420416,2.5529646653,1.4214308759,6.0317297037,40.2349101553,3.7452833276,0.3413304406,0.0420818351,0.701363919
Eliot_Middlemarch1,w,20.4985135077,0.0754017838,0,0.5170408031,6.861562325,16.2006118316,10.7393683485,8.9297255375,8.0679908656,0.0646301004,0.5816709035,26.422939377,6.7430738076,2.3697703477,1.5726657762,6.7430738076,33.3706751691,3.1237881856,0.323150502,0.0107716834,0.7109311043
Eliot_Middlemarch2,w,19.1408835208,0.2792025149,0,0.4136333554,6.5974520185,17.4036234282,13.5154698875,9.0378888154,10.6096955659,0.0413633355,0.7135175381,23.1117637326,8.1382362674,2.4714592985,1.3546492389,6.2975678359,33.855890139,2.9574784911,0.3515883521,0.0413633355,0.7341992058
Eliot_Middlemarch3,w,19.4231016869,0.1287719449,0,0.5365497704,6.8356440743,18.3500021462,13.4030132635,9.2930420226,10.8704983474,0.0643859724,0.5258187749,23.2647980427,7.8443576426,2.3500879942,1.1267545177,6.6210241662,34.8328110916,3.3158775808,0.3219298622,0.0214619908,1.3199124351
Eliot_Middlemarch4,w,18.4752553468,0.1128604481,0,0.5304441059,7.0086338243,20.7211782631,15.5634557869,12.8435189888,11.0828959991,0.0677162688,0.8915975396,23.2718243891,8.6338242763,2.5280740365,1.2527509734,8.5435359178,32.4812369505,3.600248293,0.406297613,0.0225720896,0.8915975396
Eliot_Mill,w,18.9741083731,0.3765180889,0,0.5407440638,7.0577114109,16.0060242894,9.5651616624,11.4317300606,7.8588137277,0.0280385811,0.7370141314,21.9301759221,8.1311885154,2.4633896241,0.9613227801,8.0070176563,34.6396641779,3.1443265934,0.4165732047,0.1201653475,0.644887365
Eliot_Romola1,w,21.0599374314,0.1035904448,0,0.2278989786,7.8003604947,15.2381544326,11.1359728179,5.5731659312,9.6131932791,0.020718089,0.2175399341,29.4921996395,5.6249611536,2.9005324549,1.4709843164,2.6208382539,51.7434271863,2.7244286987,0.3832846458,0.0517952224,0.5490293575
